tax_class,yearly_tax,norm
100,222.65,mass
200,222.65,mass
300,222.65,mass
400,222.65,mass
500,222.65,mass
600,222.65,mass
700,222.65,mass
800,222.65,mass
900,222.65,mass
1000,222.65,mass
1100,222.65,mass
1200,222.65,mass
1300,222.65,mass
1400,233.6,mass
1500,245.28,mass
1600,257.69,mass
1700,270.83,mass
1800,284.7,mass
1900,299.3,mass
2000,314.63,mass
2100,330.69,mass
2200,347.48,mass
2300,365,mass
2400,383.25,mass
2500,402.23,mass
2600,421.94,mass
2700,442.38,mass
2800,463.55,mass
2900,485.45,mass
3000,508.08,mass
3100,531.44,mass
3200,555.53,mass
3300,580.35,mass
3400,605.9,mass
3500,632.18,mass
