tax_class,yearly_tax,norm
0,53.29,nedc
1,53.65,nedc
2,54.02,nedc
3,54.38,nedc
4,54.75,nedc
5,55.11,nedc
6,55.48,nedc
7,55.84,nedc
8,56.21,nedc
9,56.57,nedc
10,57.3,nedc
11,57.67,nedc
12,58.03,nedc
13,58.4,nedc
14,58.76,nedc
15,59.49,nedc
16,59.86,nedc
17,60.22,nedc
18,60.59,nedc
19,61.32,nedc
20,61.68,nedc
21,62.05,nedc
22,62.78,nedc
23,63.14,nedc
24,63.51,nedc
25,64.24,nedc
26,64.6,nedc
27,65.33,nedc
28,65.7,nedc
29,66.43,nedc
30,66.79,nedc
31,67.52,nedc
32,67.89,nedc
33,68.62,nedc
34,68.98,nedc
35,69.71,nedc
36,70.08,nedc
37,70.81,nedc
38,71.54,nedc
39,71.9,nedc
40,72.63,nedc
41,73.36,nedc
42,73.73,nedc
43,74.46,nedc
44,75.19,nedc
45,75.92,nedc
46,76.28,nedc
47,77.01,nedc
48,77.74,nedc
49,78.47,nedc
50,79.2,nedc
51,79.93,nedc
52,80.66,nedc
53,81.39,nedc
54,81.76,nedc
55,82.49,nedc
56,83.58,nedc
57,84.31,nedc
58,85.04,nedc
59,85.77,nedc
60,86.5,nedc
61,87.23,nedc
62,87.96,nedc
63,88.69,nedc
64,89.42,nedc
65,90.52,nedc
66,91.25,nedc
67,91.98,nedc
68,93.07,nedc
69,93.8,nedc
70,94.53,nedc
71,95.63,nedc
72,96.36,nedc
73,97.09,nedc
74,98.18,nedc
75,98.91,nedc
76,100.01,nedc
77,101.1,nedc
78,101.83,nedc
79,102.93,nedc
80,103.66,nedc
81,104.75,nedc
82,105.85,nedc
83,106.58,nedc
84,107.67,nedc
85,108.77,nedc
86,109.86,nedc
87,110.96,nedc
88,112.05,nedc
89,112.78,nedc
90,113.88,nedc
91,114.97,nedc
92,116.07,nedc
93,117.16,nedc
94,118.26,nedc
95,119.72,nedc
96,120.81,nedc
97,121.91,nedc
98,123,nedc
99,124.1,nedc
100,125.56,nedc
101,126.65,nedc
