tax_class,yearly_tax,norm
0,53.29,wltp
1,53.29,wltp
2,53.65,wltp
3,54.02,wltp
4,54.38,wltp
5,54.75,wltp
6,55.11,wltp
7,55.48,wltp
8,55.48,wltp
9,55.84,wltp
10,56.21,wltp
11,56.57,wltp
12,56.94,wltp
13,57.3,wltp
14,57.67,wltp
15,58.03,wltp
16,58.4,wltp
17,58.76,wltp
18,59.13,wltp
19,59.49,wltp
20,59.86,wltp
21,60.22,wltp
22,60.59,wltp
23,60.95,wltp
24,61.32,wltp
25,61.68,wltp
26,62.05,wltp
27,62.41,wltp
28,62.78,wltp
29,63.14,wltp
30,63.51,wltp
31,64.24,wltp
32,64.6,wltp
33,64.97,wltp
34,65.33,wltp
35,65.7,wltp
36,66.06,wltp
37,66.43,wltp
38,67.16,wltp
39,67.52,wltp
40,67.89,wltp
41,68.25,wltp
42,68.98,wltp
43,69.35,wltp
44,69.71,wltp
45,70.08,wltp
46,70.81,wltp
47,71.17,wltp
48,71.54,wltp
49,72.27,wltp
50,72.63,wltp
51,73,wltp
52,73.73,wltp
53,74.09,wltp
54,74.46,wltp
55,75.19,wltp
56,75.55,wltp
57,76.28,wltp
58,76.65,wltp
59,77.38,wltp
60,77.74,wltp
61,78.47,wltp
62,78.84,wltp
63,79.57,wltp
64,79.93,wltp
65,80.66,wltp
66,81.03,wltp
67,81.76,wltp
68,82.12,wltp
69,82.85,wltp
70,83.58,wltp
71,83.95,wltp
72,84.68,wltp
73,85.04,wltp
74,85.77,wltp
75,86.5,wltp
76,86.87,wltp
77,87.6,wltp
78,88.33,wltp
79,89.06,wltp
80,89.42,wltp
81,90.15,wltp
82,90.88,wltp
83,91.61,wltp
84,92.34,wltp
85,93.07,wltp
86,93.44,wltp
87,94.17,wltp
88,94.9,wltp
89,95.63,wltp
90,96.36,wltp
91,97.09,wltp
92,97.82,wltp
93,98.55,wltp
94,99.28,wltp
95,100.01,wltp
96,100.74,wltp
97,101.47,wltp
98,102.2,wltp
99,102.93,wltp
100,103.66,wltp
101,104.39,wltp
102,105.48,wltp
103,106.21,wltp
104,106.94,wltp
105,107.67,wltp
106,108.4,wltp
107,109.5,wltp
108,110.23,wltp
109,110.96,wltp
110,112.05,wltp
111,112.78,wltp
112,113.51,wltp
113,114.61,wltp
114,115.34,wltp
115,116.07,wltp
116,117.16,wltp
117,117.89,wltp
118,118.99,wltp
119,119.72,wltp
120,120.81,wltp
121,121.54,wltp
122,122.64,wltp
123,123.37,wltp
124,124.46,wltp
125,125.56,wltp
126,126.29,wltp
127,127.38,wltp
128,128.48,wltp
129,129.21,wltp
130,130.3,wltp
131,131.4,wltp
132,132.13,wltp
133,133.22,wltp
134,134.32,wltp
135,135.41,wltp
136,136.51,wltp
137,137.6,wltp
138,139.43,wltp
139,140.89,wltp
140,142.71,wltp
141,144.54,wltp
142,146.36,wltp
143,147.82,wltp
144,149.65,wltp
145,151.47,wltp
146,153.3,wltp
147,155.12,wltp
148,156.95,wltp
149,158.77,wltp
150,160.96,wltp
151,162.79,wltp
